# Gene Family	demo_Abundance-CPM
UniRef90_A0A0P0M574|g__Bacteroides.s__Bacteroides_vulgatus	328.454
UniRef90_I8WTV5	328.089
UniRef90_I8WTV5|g__Bacteroides.s__Bacteroides_vulgatus	328.089
UniRef90_A0A076IM12	326.451
UniRef90_A0A076IM12|g__Bacteroides.s__Bacteroides_vulgatus	326.451
UniRef90_A0A0P0M4I6	325.914
UniRef90_A0A0P0M4I6|g__Bacteroides.s__Bacteroides_vulgatus	325.914
UniRef90_A0A069SNW9	325.505
UniRef90_A0A069SNW9|g__Bacteroides.s__Bacteroides_vulgatus	325.505
UniRef90_A0A076ILA9	323.636
UniRef90_A0A076ILA9|g__Bacteroides.s__Bacteroides_vulgatus	323.636
UniRef90_A0A076J8Y4	323.379
UniRef90_A0A076J8Y4|g__Bacteroides.s__Bacteroides_vulgatus	323.379
UniRef90_A6L4N0	321.919
UniRef90_A6L4N0|g__Bacteroides.s__Bacteroides_vulgatus	321.919
UniRef90_A0A076J5M4	319.225
UniRef90_A0A076J5M4|g__Bacteroides.s__Bacteroides_vulgatus	319.225
UniRef90_D4V3P6	318.295
UniRef90_D4V3P6|g__Bacteroides.s__Bacteroides_vulgatus	318.295
UniRef90_A0A076ITD9	317.911
UniRef90_A0A076ITD9|g__Bacteroides.s__Bacteroides_vulgatus	317.911
UniRef90_A0A0P0M2V7	315.88
UniRef90_A0A0P0M2V7|g__Bacteroides.s__Bacteroides_vulgatus	315.88
UniRef90_A0A076IIN4	314.053
UniRef90_A0A076IIN4|g__Bacteroides.s__Bacteroides_vulgatus	314.053
UniRef90_A0A076J475	310.723
UniRef90_A0A076J475|g__Bacteroides.s__Bacteroides_vulgatus	310.723
UniRef90_A0A076IRA9	310.708
UniRef90_A0A076IRA9|g__Bacteroides.s__Bacteroides_vulgatus	310.708
UniRef90_A6L2V8	309.318
UniRef90_A6L2V8|g__Bacteroides.s__Bacteroides_vulgatus	309.318
UniRef90_D4V870	308.377
UniRef90_D4V870|g__Bacteroides.s__Bacteroides_vulgatus	308.377
UniRef90_A0A076J355	305.973
UniRef90_A0A076J355|g__Bacteroides.s__Bacteroides_vulgatus	305.973
UniRef90_U6RCW1	305.278
UniRef90_U6RCW1|g__Bacteroides.s__Bacteroides_vulgatus	305.278
UniRef90_A0A174TGW6	304.779
UniRef90_A0A174TGW6|g__Bacteroides.s__Bacteroides_vulgatus	304.779
UniRef90_A0A076J0M1	304.565
UniRef90_A0A076J0M1|g__Bacteroides.s__Bacteroides_vulgatus	304.565
