# Gene Familys	demo_Abundance-RPKs
UniRef90_C3R9E8|g__Bacteroides.s__Bacteroides_vulgatus	39.0506831974
UniRef90_B6VSS7	38.9550767135
UniRef90_B6VSS7|g__Bacteroides.s__Bacteroides_vulgatus	38.9550767135
UniRef90_A6L1Z3	38.8959484704
UniRef90_A6L1Z3|g__Bacteroides.s__Bacteroides_vulgatus	38.8959484704
UniRef90_A6KZN7	38.5571318985
UniRef90_A6KZN7|g__Bacteroides.s__Bacteroides_vulgatus	38.5571318985
UniRef90_A0A0M1VY16	38.5329451192
UniRef90_A0A0M1VY16|g__Bacteroides.s__Bacteroides_vulgatus	38.5329451192
UniRef90_A0A015UTA3	38.5066619573
UniRef90_A0A015UTA3|g__Bacteroides.s__Bacteroides_vulgatus	38.5066619573
UniRef90_D4V881	38.5031511965
UniRef90_D4V881|g__Bacteroides.s__Bacteroides_vulgatus	38.5031511965
UniRef90_A0A396FHA9	38.4262513689
UniRef90_A0A396FHA9|g__Bacteroides.s__Bacteroides_vulgatus	38.4262513689
UniRef90_A6KZH6	38.3147907030
UniRef90_A6KZH6|g__Bacteroides.s__Bacteroides_vulgatus	38.3147907030
UniRef90_A0A1H7IQQ6	38.2564466391
UniRef90_A0A1H7IQQ6|g__Bacteroides.s__Bacteroides_vulgatus	38.2564466391
UniRef90_A0A076IZY4	38.1552058878
UniRef90_A0A076IZY4|g__Bacteroides.s__Bacteroides_vulgatus	38.1552058878
UniRef90_A0A076IXB1	38.0990848089
UniRef90_A0A076IXB1|g__Bacteroides.s__Bacteroides_vulgatus	38.0990848089
UniRef90_C3RDM7	37.7480343084
UniRef90_C3RDM7|g__Bacteroides.s__Bacteroides_vulgatus	37.7480343084
UniRef90_A0A1Q6IDM1	37.7266708557
UniRef90_A0A1Q6IDM1|g__Bacteroides.s__Bacteroides_vulgatus	37.7266708557
UniRef90_I8WIS4	37.6446726912
UniRef90_I8WIS4|g__Bacteroides.s__Bacteroides_vulgatus	37.6446726912
UniRef90_A0A396FBP9	37.5531621812
UniRef90_A0A396FBP9|g__Bacteroides.s__Bacteroides_vulgatus	37.5531621812
UniRef90_A0A076J096	37.5359296007
UniRef90_A0A076J096|g__Bacteroides.s__Bacteroides_vulgatus	37.5359296007
UniRef90_R5VS54	37.4067125926
UniRef90_R5VS54|g__Bacteroides.s__Bacteroides_vulgatus	37.4067125926
UniRef90_A0A3D9A664	37.3372403826
UniRef90_A0A3D9A664|g__Bacteroides.s__Bacteroides_vulgatus	37.3372403826
UniRef90_E5X3T8	37.2036874451
UniRef90_E5X3T8|g__Bacteroides.s__Bacteroides_vulgatus	37.2036874451
UniRef90_A6KXF7	37.1208862221
UniRef90_A6KXF7|g__Bacteroides.s__Bacteroides_vulgatus	37.1208862221
UniRef90_A0A076J5B8	37.1119834101
UniRef90_A0A076J5B8|g__Bacteroides.s__Bacteroides_vulgatus	37.1119834101
UniRef90_A6KWM1	37.0466200469
UniRef90_A6KWM1|g__Bacteroides.s__Bacteroides_vulgatus	37.0466200469
UniRef90_F7LTM1	36.8701397440
